continent,isBot,submitter,statistics_type,previousWorkflowStep,city,latitude,type,uid,owningItem,countryCode,sortBy,id,owningComm,longitude,owner,workflowItemId,ip,query,dns,workflowStep,userAgent,actor,referrer,rpp,sortOrder,bundleName,time,page,epersonid,owningColl,uid_value,owningItem_value,owningComm_value,owningColl_value,workflowItemId_value
,false,,view,,,,0,22d20ff7-c44c-4ac0-ad4f-16840c4291a2,85c8851a-bed4-43e8-b83e-79e56ff0dce7,,,a5254236-281c-4c20-9d60-d45b767f035d,dd8cbefd-bc37-476c-a383-7c9fe413743f,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/home,,,THUMBNAIL,2025-01-27T14:35:56.653Z,,,0b3bab26-df86-4f72-b571-a11967535e1e,22d20ff7-c44c-4ac0-ad4f-16840c4291a2,"PEDSpace Policies, User Guide, and Metadata Application Profile",PEDSnet Resources,Documentation & Learning Materials,
,false,,view,,,,0,84567244-4de3-4947-a4e4-fb0b46e49ac1,3091d08d-3d49-4ea8-8e4f-b28a3ad6df54,,,baeac2e8-f9e7-444f-aec6-c19fc5011342,"0afb13f9-1fdd-41a9-ae3f-0658068e28ba,57fd85d3-0b50-4239-8f05-8db5e0e65a6a",,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/home,,,THUMBNAIL,2025-01-27T14:35:56.653Z,,,4759746d-fbdc-4478-bea0-46161c9bc985,84567244-4de3-4947-a4e4-fb0b46e49ac1,"Sensitivity to Selection Criteria: Multi Site, Exploratory, Cross-Sectional Analysis",Cohort Identification;Data Quality Modules,Sensitivity to Selection Criteria,
,false,,view,,,,0,2a65bb8f-33b7-4125-8629-67960da32231,26f7aedb-0849-4503-bdbe-9fdb5dd45d57,,,5792c8e1-85ca-4dd7-8d79-7b83bf632317,dd8cbefd-bc37-476c-a383-7c9fe413743f,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/home,,,THUMBNAIL,2025-01-27T14:35:56.656Z,,,0b3bab26-df86-4f72-b571-a11967535e1e,2a65bb8f-33b7-4125-8629-67960da32231,Data Quality Module Execution Tutorial,PEDSnet Resources,Documentation & Learning Materials,
,false,,view,,,,0,666215af-508a-4714-bc75-c363b1171702,c04547d5-0aaf-4a6d-878c-817d24b65e50,,,a8fd1c95-959b-44b4-9013-d8e4c24d26ae,dd8cbefd-bc37-476c-a383-7c9fe413743f,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/home,,,THUMBNAIL,2025-01-27T14:35:56.657Z,,,0b3bab26-df86-4f72-b571-a11967535e1e,666215af-508a-4714-bc75-c363b1171702,PEDSpace Search and Browse Tutorial,PEDSnet Resources,Documentation & Learning Materials,
,false,,view,,,,0,6a709340-07b9-4f52-945b-93125b4858ae,41efd9d9-304b-4eea-99fd-21920d685661,,,563cd20e-01d0-4e85-b905-70d102a85ca2,"0afb13f9-1fdd-41a9-ae3f-0658068e28ba,57fd85d3-0b50-4239-8f05-8db5e0e65a6a",,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/home,,,THUMBNAIL,2025-01-27T14:35:56.687Z,,,4759746d-fbdc-4478-bea0-46161c9bc985,6a709340-07b9-4f52-945b-93125b4858ae,"Sensitivity to Selection Criteria: Single Site, Exploratory, Cross-Sectional Analysis",Cohort Identification;Data Quality Modules,Sensitivity to Selection Criteria,
,false,,view,,,,0,1d332b15-28dd-4de7-93b6-49702ebe20ca,60da86f8-ffaa-4881-a890-d3ed8c900cbb,,,c1f69bd2-f08b-4316-ab39-6656f0c1fa3d,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/communities/92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,THUMBNAIL,2025-01-27T14:36:03.254Z,,,c9e10fb0-3b40-483a-a1c0-97fff3772e6e,1d332b15-28dd-4de7-93b6-49702ebe20ca,"Rationale, Design and Methods of the Preserving Kidney Function in Children with Chronic Kidney Disease (PRESERVE) Study",PEDSnet Studies,PRESERVE: Preserving Kidney Function in Children with Chronic Kidney Disease,
,false,,view,,,,0,fc964b4a-ac03-48ba-b836-ab9037168db3,61bcd30c-d82d-4880-bdc8-ad22016b9e54,,,b2ddd328-5676-4b73-becd-e9ee9f66e866,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/communities/92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,THUMBNAIL,2025-01-27T14:36:03.256Z,,,c9e10fb0-3b40-483a-a1c0-97fff3772e6e,fc964b4a-ac03-48ba-b836-ab9037168db3,Derivation of Pediatric Blood Pressure References from Electronic Health Records,PEDSnet Studies,PRESERVE: Preserving Kidney Function in Children with Chronic Kidney Disease,
,false,,view,,,,0,d6a715f7-4401-4263-a5cb-a1f922727acb,a6a69af3-782f-4c3f-ab1e-ba4d28d035fa,,,c4e56c73-0855-4141-a104-018c914b5453,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/communities/92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,THUMBNAIL,2025-01-27T14:36:03.258Z,,,d65d5d72-51c6-4e78-88f3-08a790c854c8,d6a715f7-4401-4263-a5cb-a1f922727acb,Identification of Patients with a History of High-frequency Jet Ventilator Use to Explore Indication Expansion,PEDSnet Studies,NESTcc Studies,
,false,,view,,,,0,6de21be4-3c55-4d13-9260-3954edd28be8,bcaf8b2f-2935-438d-9ccc-646513dc0822,,,f722d85a-cb43-46bb-8428-ea9f0fae4a3f,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/communities/92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,THUMBNAIL,2025-01-27T14:36:03.261Z,,,a74c2730-bd9d-4d9b-bbbc-70391d565e07,6de21be4-3c55-4d13-9260-3954edd28be8,Personalizing Outcomes of Nephrolithiasis in Youth (PONY),PEDSnet Studies,Pediatric KIDney Stone (PKIDS),
,false,,view,,,,0,59827196-ce86-49a0-9f36-b89d68579474,2000a52a-f913-461c-a95f-ae60a456560a,,,be9e373a-0464-4573-a8ef-e8022581d0cc,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,,0a58987c,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,https://pedsnetapps.chop.edu/metadata/communities/92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,,,THUMBNAIL,2025-01-27T14:36:03.262Z,,,6c8dedcf-c919-45f8-882b-e92de1bbcb55,59827196-ce86-49a0-9f36-b89d68579474,Comparative effectiveness of VNS versus continued pharmacologic treatment of Lennox-Gastaut Syndrome: Reducing Emergency Seizure Care and Improving Functional Outcomes,PEDSnet Studies,PCORnet Designated Studies,
